date,net_pnl_usd,cum_pnl_usd
2017-07-31,-539.9950593841905,-33420.12337387351
2017-08-01,-307.6288398561231,-33727.75221372963
2017-08-02,276.51688423062507,-33451.23532949901
2017-08-03,-159.58649880799703,-33610.82182830701
2017-08-04,-435.5290447891631,-34046.35087309617
2017-08-07,-1130.1501864244576,-35176.501059520626
2017-08-08,-512.5974720717165,-35689.09853159234
2017-08-09,614.9079139944963,-35074.190617597844
2017-08-10,-569.60178635092,-35643.79240394876
2017-08-11,924.5953460520576,-34719.19705789671
2017-08-14,285.852293306905,-34433.344764589805
2017-08-15,-568.9884905735914,-35002.333255163394
2017-08-16,-382.524098170504,-35384.8573533339
2017-08-17,-98.49041375909229,-35483.34776709299
2017-08-18,1156.6361564882843,-34326.71161060471
2017-08-21,884.7928633024799,-33441.91874730223
2017-08-22,-820.3220955785179,-34262.24084288075
2017-08-23,142.31909700356587,-34119.92174587718
2017-08-24,-281.15321326686467,-34401.07495914405
2017-08-25,245.6763317854004,-34155.39862735865
2017-08-28,-41.58751576655514,-34196.98614312521
2017-08-29,-209.5032769480882,-34406.489420073296
2017-08-30,-738.8874690229889,-35145.37688909628
2017-08-31,194.52935749822842,-34950.847531598054
2017-09-01,-1148.67127394774,-36099.51880554579
2017-09-06,-327.9060841245514,-36427.42488967034
2017-09-07,-105.15307382717987,-36532.577963497526
2017-09-08,437.13931873537797,-36095.43864476215
2017-09-11,-255.60723474818428,-36351.04587951033
2017-09-12,404.1479178964979,-35946.89796161384
2017-09-13,219.5749820074455,-35727.32297960639
2017-09-14,83.38472255236661,-35643.938257054026
2017-09-15,715.4109439217093,-34928.52731313232
2017-09-18,652.2128906536547,-34276.31442247867
2017-09-19,855.3267261674583,-33420.98769631121
2017-09-20,-189.0566636640504,-33610.04435997526
2017-09-21,371.9774747494348,-33238.066885225824
2017-09-22,126.1840305149017,-33111.88285471092
2017-09-25,-606.613680799454,-33718.49653551038
2017-09-27,-472.09850403467055,-34190.59503954505
2017-09-28,-588.1792036225513,-34778.7742431676
2017-09-29,-880.9783030246394,-35659.75254619224
2017-10-02,560.8307820839319,-35098.92176410831
2017-10-03,682.6455664698291,-34416.27619763848
2017-10-06,-609.2374937414521,-35025.51369137993
2017-10-09,-105.26826448796925,-35130.7819558679
2017-10-10,-858.8247342261367,-35989.606690094035
2017-10-11,2049.7924042120967,-33939.81428588194
2017-10-12,-603.5328929053921,-34543.347178787335
2017-10-13,-564.617681939653,-35107.964860726985
2017-10-16,254.89062157979185,-34853.074239147194
2017-10-17,-189.94076327419964,-35043.015002421394
2017-10-18,-124.2438666943275,-35167.25886911572
2017-10-19,1376.4830340876028,-33790.77583502812
2017-10-20,856.3625099064291,-32934.41332512169
2017-10-23,163.13370816745123,-32771.27961695424
2017-10-24,-1134.2672244648043,-33905.54684141905
2017-10-25,-456.5669875488782,-34362.11382896792
2017-10-26,-685.3677411870467,-35047.48157015497
2017-10-27,-793.7567244922816,-35841.23829464725
2017-10-30,-1786.0907790172957,-37627.32907366454
2017-10-31,-173.80255882871177,-37801.131632493256
2017-11-01,80.89600157234719,-37720.235630920906
2017-11-02,1344.339138255179,-36375.89649266573
2017-11-03,-706.4277827330797,-37082.32427539881
2017-11-06,-362.353796667614,-37444.678072066425
2017-11-07,-1230.3075787084983,-38674.98565077492
2017-11-08,377.45901006170146,-38297.52664071322
2017-11-09,873.8087426975172,-37423.717898015704
2017-11-10,-91.88624493927313,-37515.60414295498
2017-11-13,-794.670748245209,-38310.27489120019
2017-11-14,-856.6781555444702,-39166.95304674466
2017-11-15,698.5162118530449,-38468.43683489162
2017-11-16,221.3642969755761,-38247.07253791604
2017-11-17,1092.7180662120566,-37154.354471703984
2017-11-20,-422.9207694691505,-37577.275241173134
2017-11-21,-97.10284768902534,-37674.37808886216
2017-11-22,593.7254079577431,-37080.65268090442
2017-11-24,63.45836111182922,-37017.194319792594
2017-11-27,-105.22079158730509,-37122.4151113799
2017-11-28,451.9902251468268,-36670.42488623307
2017-11-29,2016.4328807756835,-34653.99200545739
2017-11-30,652.7963266821978,-34001.19567877519
2017-12-01,-120.13493897720565,-34121.3306177524
2017-12-04,-336.28714253373624,-34457.617760286135
2017-12-05,60.648235166286554,-34396.96952511985
2017-12-06,853.8114225010788,-33543.15810261877
2017-12-07,612.6882313466558,-32930.469871272115
2017-12-08,153.96918913178718,-32776.50068214033
2017-12-11,-239.2089907694642,-33015.70967290979
2017-12-13,-437.18484008824345,-33452.894512998035
2017-12-14,258.6516380062855,-33194.24287499175
2017-12-15,-697.5623951443201,-33891.80527013607
2017-12-18,-824.764401190268,-34716.56967132634
2017-12-19,-130.69704788136318,-34847.2667192077
2017-12-20,-1008.0329432741637,-35855.29966248186
2017-12-21,-106.63640904170018,-35961.93607152356
2017-12-22,91.05776670430333,-35870.878304819256
2017-12-26,-345.83676636955164,-36216.71507118881
2017-12-29,-191.94589151826688,-36408.66096270708
2018-01-02,-332.03779378012973,-36740.69875648721
2018-01-03,842.0478407785597,-35898.65091570865
2018-01-04,614.5203134589877,-35284.13060224966
2018-01-05,-491.068870902502,-35775.19947315216
2018-01-08,493.174436886281,-35282.025036265884
2018-01-10,1095.6670911790288,-34186.35794508686
2018-01-11,-599.6778668468942,-34786.03581193375
2018-01-12,-742.3533820663436,-35528.38919400009
2018-01-16,-42.428662834262695,-35570.81785683435
2018-01-17,-182.20253708898585,-35753.02039392333
2018-01-18,-442.5750029277125,-36195.595396851044
2018-01-19,1039.6787208651326,-35155.916675985914
2018-01-22,-523.4595175866572,-35679.37619357257
2018-01-23,-2363.8634610336785,-38043.23965460625
2018-01-24,154.84435557614222,-37888.39529903011
2018-01-25,-1255.8829567760192,-39144.27825580613
2018-01-26,-341.45041470563746,-39485.728670511766
2018-01-29,-726.7886305056062,-40212.517301017375
2018-01-30,-962.5151591775108,-41175.03246019489
2018-01-31,-244.25904440316089,-41419.29150459805
2018-02-01,-1292.5479534716842,-42711.839458069735
2018-02-02,-356.37948819088655,-43068.21894626062
2018-02-05,-700.5234930362802,-43768.7424392969
2018-02-06,3528.6500058561637,-40240.09243344073
2018-02-07,1217.1725650415565,-39022.91986839918
2018-02-08,1554.1059617109117,-37468.813906688265
2018-02-09,1656.437326817561,-35812.3765798707
2018-02-12,-36.498961438908964,-35848.875541309615
2018-02-13,257.829657372008,-35591.04588393761
2018-02-14,497.5231351149394,-35093.52274882267
2018-02-15,-827.0471507775148,-35920.56989960018
2018-02-16,930.4571875593041,-34990.11271204088
2018-02-20,629.4701366233944,-34360.642575417485
2018-02-21,-1517.7063417510367,-35878.34891716852
2018-02-22,87.12932281003106,-35791.21959435849
2018-02-23,65.75237641559724,-35725.46721794289
2018-02-26,-1210.3443712990843,-36935.811589241974
2018-02-27,867.8954092155637,-36067.91618002641
2018-02-28,647.3663219728321,-35420.54985805358
2018-03-01,-176.3957878505393,-35596.94564590412
2018-03-02,36.57767259760192,-35560.367973306515
2018-03-06,240.13891580725374,-35320.22905749926
2018-03-07,-80.46510692402887,-35400.69416442329
2018-03-08,458.6863477741222,-34942.007816649166
2018-03-09,-207.17076768172063,-35149.17858433089
2018-03-12,-294.58808432235503,-35443.76666865325
2018-03-13,-303.2485011434021,-35747.01516979665
2018-03-14,79.83916398169282,-35667.17600581496
